,id,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,owner_2_score,RATE_owner_2,CAP_AMOUNT_owner_2,PERCENT_OWN_owner_2,owner_3_score,RATE_owner_3,CAP_AMOUNT_owner_3,PERCENT_OWN_owner_3,years_in_business,RATE_ID_FOR_years_in_business,fsr,RATE_ID_FOR_fsr,location,RATE_ID_FOR_location,funded_last_30,RATE_ID_FOR_funded_last_30,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,INPUT_VALUE_ID_FOR_judgement_lien_time,RATE_ID_FOR_judgement_lien_time,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,RATE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,RATE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
212,1138,736,A,150000,100,,,,,,,,,20.81,A,99,,Verified,A,N,,0,A,0,A,,,0,A,24,A,298823.2,A,77588.4,A,0.26,A,0,A,0,A,0,A,3,D,298823.2,,capped,,736,A,150000,100,1053,Default
1891,8232,698,A,150000,100,,,,,,,,,2.58,A,3,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,698,A,150000,100,7089,Paid off with renewal
1403,4162,514,C,35000,100,,,,,,,,,10.02,A,17,,Verified,A,N,,0,A,0,A,,,0.2,A,32.6,A,108504.4,A,12460.4,A,0.11,A,0,A,0,A,0,A,2,C,108504.4,,standard,,514,C,35000,100,4122,Default
1830,8060,730,A,150000,100,,,,,,,,,2.29,A,74,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,730,A,150000,100,6974,Paid in full
94,668,696,A,150000,100,,,,,,,,,8.86,A,6,,Verified,A,N,,0,A,0,A,,,0,A,25.4,A,91694.4,A,28085.2,A,0.31,A,0,A,0,A,0,A,1,A,91694.4,,standard,,696,A,150000,100,549,Paid off with renewal
658,3647,480,D,0,50,432,D,0,50,,,,,0.86,C,7,,Verified,A,N,,0,A,0,A,,,0,A,0,R,25000,A,0,D,0,D,0,A,0,A,0,A,0,A,25000,,preferred,,456,D,0,100,3463,Paid in full
96,531,551,B,100000,100,,,,,,,,,1805.38,A,5,,Verified,A,N,,0,A,0,A,,,3.25,C,16,A,142658.58,A,13219.3025,A,0.09,A,0,A,0,A,0,A,3,D,142658.58,,preferred,,551,B,100000,100,429,Paid in full
512,2457,568,B,100000,50,612,A,150000,50,,,,,5.72,A,65,,Verified,A,N,,0,A,0,A,,,2.333333333,C,45,A,32970.66667,A,1649.666667,A,0.05,A,0,A,0,A,0,A,0,A,32970.66667,,preferred,,590,B,100000,100,2546,Paid off with renewal
1972,8749,624,B,100000,51,,,,,,,,,14.6,A,,,Unknown,,N,,0,A,0,A,,,0,A,40.66666667,A,83203.33333,A,7666.666667,A,0.09,A,0,A,0,A,0,A,1,A,83203.33333,,preferred,,624,B,100000,51,7458,Paid off with renewal
1402,4127,643,A,150000,100,,,,,,,,,24.31,A,70,,Verified,A,N,,0,A,0,A,,,0.25,A,11.25,A,49413.315,A,11267.0725,A,0.23,A,0,A,0,A,0,A,1,A,49413.315,,preferred,,643,A,150000,100,4099,Paid off with renewal
435,2128,620,A,150000,100,,,,,,,,,8.19,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,130000,A,0,D,0,D,0,A,0,A,0,A,1,A,130000,,preferred,,620,A,150000,100,2234,Paid off with renewal
821,4478,658,A,150000,100,,,,,,,,,4.74,A,6,,Home,A,N,,0,A,0,A,,,1,A,43,A,14541.9,A,675.0633333,D,0.05,A,0,A,0,A,0,A,0,A,14541.9,,preferred,,658,A,150000,100,4402,Paid off with renewal
1540,5089,705,A,150000,100,,,,,,,,,13,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,705,A,150000,100,4743,Paid in full
1199,2365,570,B,100000,33.3,481,D,0,33.3,804,A,150000,,2.19,A,2,,Verified,A,N,,0,A,0,A,,,4.333333333,D,36.33333333,A,34251.33333,A,1031,A,0.03,A,0,A,0,A,0,A,1,A,34251.33333,,preferred,,525,C,35000,66.6,2453,Paid in full
617,4581,613,A,150000,100,,,,,,,,,6.89,A,,,Home,A,N,,0,A,0,A,,,4,C,33.25,A,50514.1175,A,5013.8075,A,0.1,A,0,A,0,A,0,A,1,A,50514.1175,,preferred,,613,A,150000,100,4439,Paid in full
1779,6684,647,A,150000,100,,,,,,,,,4.78,A,28,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,647,A,150000,100,5961,Paid in full
37,190,652,A,150000,100,,,,,,,,,4.71,A,,,Home,A,N,,0,A,0,A,,,5.25,D,10,R,990199.79,A,35251.38,A,0.04,A,0,A,0,A,0,A,1,A,990199.79,,preferred,,652,A,150000,,201,Default
69,507,632,A,150000,50,669,A,150000,50,,,,,8.5,A,31,,Home,A,N,,0,A,0,A,,,0,A,6.75,R,33005.0975,A,6198.4175,A,0.19,A,0,A,0,A,0,A,0,A,33005.0975,,capped,,650,A,150000,100,203,Paid in full
1300,3844,598,B,100000,100,,,,,,,,,4.28,A,,,Verified,A,N,,0,A,0,A,,,0.333333333,A,36.33333333,A,16152,A,1286,A,0.08,A,0,A,0,A,0,A,0,A,16152,,preferred,,598,B,100000,100,3898,Paid off with renewal
1617,5116,696,A,150000,25,697,A,150000,25,,,,,1.33,B,12,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,696,A,150000,50,4769,Paid in full
1791,7919,635,A,150000,100,,,,,,,,,3.24,A,45,,Verified,A,N,,0,A,0,A,,,0,A,10.25,R,267331.765,A,6000,A,0.02,A,0,A,0,A,0,A,0,A,267331.765,,capped,,635,A,150000,100,6894,Paid in full
