,id,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,owner_2_score,RATE_owner_2,CAP_AMOUNT_owner_2,PERCENT_OWN_owner_2,owner_3_score,RATE_owner_3,CAP_AMOUNT_owner_3,PERCENT_OWN_owner_3,years_in_business,RATE_ID_FOR_years_in_business,fsr,RATE_ID_FOR_fsr,location,RATE_ID_FOR_location,funded_last_30,RATE_ID_FOR_funded_last_30,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,INPUT_VALUE_ID_FOR_judgement_lien_time,RATE_ID_FOR_judgement_lien_time,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,RATE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,RATE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
110,786,537,C,35000,100,,,,,,,,,9.83,A,17,,Home,A,N,,0,A,0,A,,,0.25,A,32.75,A,65687,A,10049.5,A,0.15,A,0,A,0,A,0,A,1,A,65687,,preferred,,537,C,35000,100,659,Paid off with renewal
1535,4913,600,A,150000,51,647,A,150000,49,,,,,4.83,A,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,58165,A,2500,A,0.04,A,0,A,0,A,0,A,2,C,58165,,preferred,,623,A,150000,100,4443,Default
1432,4502,505,C,35000,100,,,,,,,,,6.84,A,,,Verified,A,N,,0,A,0,A,,,0.666666667,A,16.66666667,A,109106,A,7333.333333,A,0.07,A,0,A,0,A,0,A,0,A,109106,,preferred,,505,C,35000,100,4468,Default
1227,2856,500,C,35000,100,,,,,,,,,7.4,A,1,,Verified,A,N,,0,A,0,A,,,3.5,C,10.5,R,70921.99,A,9731.49,A,0.14,A,0,A,0,A,0,A,0,A,70921.99,,preferred,,500,C,35000,100,2966,Default
1913,10056,676,A,150000,70,,,,30,,,,,2.99,A,,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,676,A,150000,70,8337,Paid in full
115,784,666,A,150000,100,,,,,,,,,3.77,A,28,,Home,A,N,,0,A,0,A,,,0,A,14.5,A,65731.5,A,42818.75,A,0.65,A,0,A,0,A,0,A,2,C,65731.5,,preferred,,666,A,150000,100,649,Paid off with renewal
1434,4512,505,C,35000,100,,,,,,,,,6.98,A,6,,Verified,A,N,,0,A,0,A,,,1,A,23.75,A,103631.675,A,5852.5125,A,0.06,A,0,A,0,A,0,A,2,C,103631.675,,preferred,,505,C,35000,100,4468,Default
1481,5521,738,A,150000,100,,,,,,,,,3.27,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,738,A,150000,100,5033,Default
349,1778,674,A,150000,100,,,,,,,,,0.69,C,53,,Verified,A,N,,0,A,0,A,,,0.2,A,201,A,113396.4,A,5479.4,A,0.05,A,0,A,0,A,0,A,0,A,113396.4,,preferred,,674,A,150000,100,1807,Paid off with renewal
1308,3322,577,B,100000,100,,,,,,,,,0.68,C,6,,Verified,A,N,,0,A,0,A,,,1.333333333,B,26,A,350464.3333,A,37499,A,0.11,A,0,A,0,A,0,A,0,A,350464.3333,,preferred,,577,B,100000,100,3476,Paid off with renewal
1226,2813,646,A,150000,100,,,,,,,,,31.82,A,98,,Verified,A,N,,0,A,0,A,,,0,A,14.25,A,100060.75,A,13971.7975,A,0.14,A,0,A,0,A,0,A,1,A,100060.75,,preferred,,646,A,150000,100,2924,Paid in full
379,2060,650,A,150000,100,,,,,,,,,5.54,A,4,,Verified,A,N,,0,A,0,A,,,2,B,18.25,A,29348,A,2389.75,A,0.08,A,0,A,0,A,0,A,2,C,29348,,preferred,,650,A,150000,100,2133,Default
1627,5868,625,A,150000,100,,,,,,,,,1.65,B,80,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,625,A,150000,100,5299,Paid in full
1192,2858,500,C,35000,100,,,,,,,,,0.34,D,1,,Home,A,N,,0,A,0,A,,,3.75,C,10.5,R,70921.99,A,9731.49,A,0.14,A,0,A,0,A,0,A,0,A,70921.99,,preferred,,500,C,35000,100,2966,Default
348,1766,549,C,35000,100,,,,,,,,,8.67,A,23,,Verified,A,N,,0,A,0,A,,,1.333333333,B,30,A,37469.66667,A,6512,A,0.17,A,0,A,0,A,0,A,1,A,37469.66667,,standard,,549,C,35000,100,1694,Default
491,2728,663,A,150000,100,,,,,,,,,1.68,B,85,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,663,A,150000,100,2858,Paid in full
1604,4498,705,A,150000,100,,,,,,,,,8.98,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,705,A,150000,100,4425,Default
1290,3560,688,A,150000,100,,,,,,,,,11.82,A,56,,Verified,A,N,,4.154,B,7666.666667,A,,,0,A,83.66666667,A,184539.93,A,27124.04,A,0.15,A,7666.666667,A,0.346,A,2,B,2,C,184539.93,,preferred,,688,A,150000,100,3521,Default
163,1006,508,C,35000,90,,,,10,,,,,4.12,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,508,C,35000,90,935,Default
454,3166,550,B,100000,100,,,,,,,,,6.35,A,45,,Verified,A,N,,0,A,0,A,,,0,A,6.666666667,R,150456,A,32985.33333,A,0.22,A,0,A,0,A,0,A,1,A,150456,,preferred,,550,B,100000,100,3318,Default
1468,5125,684,A,150000,100,,,,,,,,,9.84,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,684,A,150000,100,4755,Paid in full
1413,5011,519,C,35000,100,,,,,,,,,11.05,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,519,C,35000,100,4713,Paid in full
1590,5131,705,A,150000,100,,,,,,,,,12.57,A,87,,Home,A,N,,0,A,0,A,,,0.333333333,A,47.66666667,A,362951.0333,A,27505.86667,A,0.08,A,0,A,0,A,0,A,1,A,362951.0333,,preferred,,705,A,150000,100,4743,Paid in full
176,1003,741,A,150000,100,,,,,,,,,3.78,A,81,,Verified,A,N,,0,A,0,A,,,0,A,15.8,A,28976.4,A,8721.972,A,0.3,A,0,A,0,A,0,A,1,A,28976.4,,preferred,,741,A,150000,100,928,Paid off with renewal
1068,7389,652,A,150000,100,,,,,,,,,12.07,A,87,,Verified,A,N,,0,A,0,A,,,0,A,67.875,A,61762.375,A,5599,A,0.09,A,0,A,0,A,0,A,1,A,61762.375,,preferred,,652,A,150000,100,6367,Paid in full
1196,2156,620,A,150000,100,,,,,,,,,8.28,A,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,130000,A,8000,A,0.06,A,0,A,0,A,0,A,1,A,130000,,preferred,,620,A,150000,100,2234,Paid off with renewal
1241,2751,718,A,150000,100,,,,,,,,,28.13,A,,,Verified,A,N,,3.951,B,7500,A,,,0.5,A,61.75,A,189827,A,6774.5,A,0.04,A,0,A,0,A,0,A,1,A,189827,,capped,,718,A,150000,100,2846,Default
1663,6406,662,A,150000,100,,,,,,,,,4.04,A,5,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,662,A,150000,100,5659,Paid in full
145,700,612,A,150000,100,,,,,,,,,6.02,A,80,,Verified,A,N,,0,A,0,A,,,0.333333333,A,23.33333333,A,67252.67667,A,12688.33333,A,0.19,A,0,A,0,A,0,A,2,C,67252.67667,,standard,,612,A,150000,100,569,Paid in full
1570,5914,694,A,150000,100,,,,,,,,,2.8,A,6,,Verified,A,N,,0,A,0,A,,,0.25,A,49.5,A,33207.75,A,2450,A,0.07,A,0,A,0,A,0,A,1,A,33207.75,,preferred,,694,A,150000,100,5313,Paid in full
696,3801,621,A,150000,50,,,,50,,,,,2.79,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,621,A,150000,50,3891,Paid in full
1449,4132,658,A,150000,100,,,,,,,,,20.64,A,99,,Verified,A,N,,0,A,0,A,,,0.666666667,A,22.33333333,A,58709.66667,A,2658.333333,A,0.05,A,0,A,0,A,0,A,1,A,58709.66667,,preferred,,658,A,150000,100,4114,Paid in full
1504,4017,504,C,35000,100,,,,,,,,,5.96,A,20,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,504,C,35000,100,4062,Paid in full
203,893,634,A,150000,100,,,,,,,,,6.78,A,86,,Verified,A,N,,0,A,0,A,,,1.5,B,6.25,R,74464.5,A,1000,A,0.01,A,0,A,0,A,0,A,1,A,74464.5,,preferred,,634,A,150000,100,765,Paid off with renewal
10,142,620,A,150000,0,,,,0,,,,0,8.13,A,,,Home,,N,,0,A,0,A,,,0,A,73.25,A,0,D,27761,A,0,D,0,A,0,A,0,A,2,C,130551.27,,,,,,,,153,Paid off with renewal
1852,8110,651,A,150000,100,,,,,,,,,3.1,A,71,,Home,A,N,,0,A,0,A,,,0.333333333,A,41.66666667,A,176728.6667,A,37363.33333,A,0.21,A,0,A,0,A,0,A,1,A,176728.6667,,preferred,,651,A,150000,100,6976,Paid off with renewal
1114,6684,647,A,150000,100,,,,,,,,,4.78,A,28,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,647,A,150000,100,5961,Paid in full
423,2356,570,B,100000,33.3,481,D,0,33.3,,,,,2.19,A,2,,Verified,A,N,,0,A,0,A,,,4.333333333,D,36.33333333,A,34251.33333,A,1031,A,0.03,A,0,A,0,A,0,A,1,A,34251.33333,,preferred,,525,C,35000,66.6,2453,Paid in full
689,3526,445,D,0,100,,,,,,,,,26.95,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,445,D,0,100,3630,Paid off with renewal
510,2868,620,A,150000,100,,,,,,,,,7.9,A,74,,Home,A,N,,0,A,0,A,,,0,A,6.666666667,R,19529.54333,A,4267.793333,A,0.22,A,0,A,0,A,0,A,1,A,19529.54333,,preferred,,620,A,150000,100,2982,Paid in full
920,4978,667,A,150000,100,,,,,,,,,8.79,A,71,,Home,A,N,,0,A,0,A,,,0.25,A,4.75,R,30760,A,12656.5,A,0.41,A,0,A,0,A,0,A,0,A,30760,,preferred,,667,A,150000,100,4638,Paid in full
1085,8769,741,A,150000,100,,,,,,,,,12.28,A,65,,Verified,A,N,,0,A,0,A,,,0,A,10,C,828338.75,A,387205.25,A,0.47,A,0,A,0,A,0,A,1,A,828338.75,,preferred,,741,A,150000,100,7477,Default
1511,4806,600,A,150000,51,647,A,150000,49,,,,,4.82,A,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,58165,A,2500,A,0.04,A,0,A,0,A,0,A,1,A,58165,,preferred,,623,A,150000,100,4443,Default
1352,4268,577,B,100000,100,,,,,,,,,0.73,C,6,,Verified,A,N,,0,A,0,A,,,1.333333333,B,26,A,350464.3333,A,37499,A,0.11,A,0,A,0,A,0,A,0,A,350464.3333,,capped,,577,B,100000,100,4257,Default
1517,4975,667,A,150000,100,,,,,,,,,8.79,A,71,,Home,A,N,,0,A,0,A,,,0.25,A,4.75,R,30760,A,12656.5,A,0.41,A,0,A,0,A,0,A,0,A,30760,,capped,,667,A,150000,100,4638,Paid in full
1593,5223,693,A,150000,100,,,,,,,,,4.34,A,,,Verified,A,N,,0,A,0,A,,,0,A,44.25,A,35024,A,8118,A,0.23,A,0,A,0,A,0,A,1,A,35024,,preferred,,693,A,150000,100,4821,Paid in full
756,5224,693,A,150000,100,,,,,,,,,4.34,A,,,Verified,A,N,,0,A,0,A,,,0,A,44.25,A,27986.25,A,8118,A,0.29,A,0,A,0,A,0,A,1,A,27986.25,,preferred,,693,A,150000,100,4821,Paid in full
1984,10060,676,A,150000,70,619,B,100000,30,,,,,2.99,A,,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,658,A,150000,100,8337,Paid in full
1929,9762,764,A,150000,100,,,,,,,,,1.88,B,38,,Home,A,N,,0,A,0,A,,,0,A,17.5,B,373476,A,5000,A,0.01,A,0,A,0,A,0,A,1,A,373476,,preferred,,764,A,150000,100,7964,Paid off with renewal
1863,9007,645,B,100000,100,,,,,,,,,5.76,A,56,,Verified,A,N,,0,A,0,A,,,0,A,75.625,A,245861.5,A,18755.125,A,0.08,A,0,A,0,A,0,A,1,A,245861.5,,preferred,,645,B,100000,100,7602,Paid off with renewal
1995,11207,630,B,100000,100,,,,,,,,,10.86,A,25,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,Preferred,,0,,,100,9062,Paid off with renewal
2001,11299,741,A,150000,100,,,,,,,,,13.31,A,90,,Verified,A,N,,0,A,0,A,,,2.333333333,C,72,A,78075.33333,A,6309.666667,A,0.08,A,0,A,0,A,0,A,1,A,78075.33333,,Preferred,,0,,,100,9072,Paid in full
631,4150,560,B,100000,100,,,,,,,,,3.82,A,12,,Verified,A,N,,0,A,0,A,,,0,A,31,A,26898.09167,A,3703.456667,A,0.14,A,0,A,0,A,0,A,1,A,26898.09167,,preferred,,560,B,100000,100,4107,Paid in full
1276,3473,688,A,150000,100,,,,,,,,,11.82,A,56,,Verified,A,N,,4.154,B,7666.666667,A,,,0,A,83.66666667,A,184539.93,A,27124.04,A,0.15,A,7666.666667,A,0.346,A,2,B,4,D,184539.93,,preferred,,688,A,150000,100,3521,Default
1990,10800,621,B,100000,100,,,,,,,,,6.17,A,6,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,621,B,100000,100,8844,Paid in full
264,1478,703,A,150000,100,,,,,,,,,26.58,A,73,,Verified,A,N,,0,A,0,A,,,0,A,12.75,A,107027.25,A,36505.2275,A,0.34,A,0,A,0,A,0,A,1,A,107027.25,,preferred,,703,A,150000,100,1362,Paid in full
1754,7574,591,B,100000,100,,,,,,,,,4.15,A,86,,Verified,A,N,,0,A,0,A,,,0.6,A,5.4,C,89189.4,A,45522.2,A,0.51,A,0,A,0,A,0,A,0,A,89189.4,,capped,,591,B,100000,100,6445,Paid in full
611,4502,505,C,35000,100,,,,,,,,,6.84,A,,,Verified,A,N,,0,A,0,A,,,0.666666667,A,16.66666667,A,109106,A,7333.333333,A,0.07,A,0,A,0,A,0,A,0,A,109106,,preferred,,505,C,35000,100,4468,Default
1472,5158,574,B,100000,100,,,,,,,,,14.98,A,80,,Home,A,N,,0,A,0,A,,,0.5,A,22.5,A,57474.25,A,6064.25,A,0.11,A,0,A,0,A,0,A,1,A,57474.25,,preferred,,574,B,100000,100,2503,Paid off with renewal
1770,6202,488,D,0,100,,,,,,,,,5.44,A,4,,Unknown,,N,,0,A,0,A,,,0.25,A,14,A,76942.5,A,6579,A,0.09,A,0,A,0,A,0,A,0,A,76942.5,,preferred,,488,D,0,100,5529,Paid in full
1129,8994,632,B,100000,100,,,,,,,,,9.55,A,42,,Home,A,N,,0,A,0,A,,,0,A,25.33333333,A,14903.66667,A,1323.333333,A,0.09,A,0,A,0,A,0,A,1,A,14903.66667,,preferred,,632,B,100000,100,7616,Paid off with renewal
829,4893,609,A,150000,100,,,,,,,,,4.95,A,4,,Verified,A,N,,0,A,0,A,,,0,A,87.66666667,A,113406.495,A,52849.66667,A,0.47,A,0,A,0,A,0,A,1,A,113406.495,,capped,,609,A,150000,100,4618,Paid in full
481,2750,718,A,150000,100,,,,,,,,,28.13,A,,,Verified,A,N,,3.951,B,7500,A,,,0.5,A,61.75,A,189827,A,6774.5,A,0.04,A,0,A,0,A,0,A,1,A,189827,,standard,,718,A,150000,100,2846,Default
1253,3546,595,B,100000,100,,,,,,,,,1.82,B,6,,Verified,A,N,,0,A,0,A,,,2.666666667,C,51.33333333,A,21287.33333,A,3424,A,0.16,A,0,A,0,A,0,A,0,A,21287.33333,,preferred,,595,B,100000,100,3561,Paid in full
994,5223,693,A,150000,100,,,,,,,,,4.34,A,,,Verified,A,N,,0,A,0,A,,,0,A,44.25,A,35024,A,8118,A,0.23,A,0,A,0,A,0,A,1,A,35024,,preferred,,693,A,150000,100,4821,Paid in full
725,4371,639,A,150000,100,,,,,,,,,19.08,A,6,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,639,A,150000,100,4321,Paid in full
1644,5503,557,B,100000,60,666,A,150000,20,,,,,6.4,A,27,,Verified,A,N,,0,A,0,A,,,0,A,12.33333333,A,184915.6667,A,20890,A,0.11,A,0,A,0,A,0,A,1,A,184915.6667,,preferred,,584,B,100000,80,5013,Paid in full
1285,2820,646,A,150000,50,723,A,150000,24,,,,,31.79,A,98,,Verified,A,N,,0,A,0,A,,,0,A,14.25,A,100060.75,A,13971.7975,A,0.14,A,0,A,0,A,0,A,1,A,100060.75,,preferred,,670,A,150000,74,2924,Paid in full
1543,5165,716,A,150000,100,,,,,,,,,5.58,A,6,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,716,A,150000,100,4765,Paid via discounted payoff
1305,4189,544,C,35000,100,,,,,,,,,1.5,B,6,,Verified,A,N,,0,A,0,A,,,1.5,B,30,A,16709.25,A,980.25,D,0.06,A,0,A,0,A,0,A,2,C,16709.25,,preferred,,544,C,35000,100,4165,Default
1662,6368,662,A,150000,100,,,,,,,,,15.22,A,28,,Home,A,N,,0,A,0,A,,,0,A,12,A,550921.6667,A,73120.66667,A,0.13,A,0,A,0,A,0,A,1,A,550921.6667,,preferred,,662,A,150000,100,5675,Paid in full
97,662,642,A,150000,100,,,,,,,,,6.21,A,12,,Verified,A,N,,0,A,0,A,,,0,A,54.66666667,A,130859.5633,A,18683.18333,A,0.14,A,0,A,0,A,0,A,2,C,130859.5633,,preferred,,642,A,150000,100,543,Paid in full
1899,8979,632,B,100000,100,,,,,,,,,9.55,A,,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,632,B,100000,100,7616,Paid off with renewal
230,1217,658,A,150000,100,,,,,,,,,2.22,A,3,,Verified,A,N,,0,A,0,A,,,3,C,20,A,69909.75,A,3349.25,A,0.05,A,0,A,0,A,0,A,0,A,69909.75,,preferred,,658,A,150000,100,1073,Paid in full
734,5178,612,A,150000,100,,,,,,,,,16.59,A,5,,Home,A,N,,0,A,0,A,,,0,A,5.25,R,9711.99,D,1198.75,A,0.12,A,0,A,0,A,0,A,0,A,9711.99,,preferred,,612,A,150000,100,4782,Default
1231,3128,649,A,150000,100,,,,,,,,,18.93,A,70,,Verified,A,N,,0,A,0,A,,,0,A,11.5,A,53664.67,A,11488.5,A,0.21,A,0,A,0,A,0,A,0,A,53664.67,,preferred,,649,A,150000,100,3266,Paid in full
1916,8882,707,A,150000,100,,,,,,,,,25.42,A,87,,Verified,A,N,,0,A,0,A,,,0.333333333,A,22.66666667,A,47680.83,A,13761.89,A,0.29,A,0,A,0,A,0,A,3,D,47680.83,,preferred,,707,A,150000,100,7541,Paid off with renewal
846,6212,568,B,100000,100,,,,,,,,,3.42,A,86,,Verified,A,N,,0,A,0,A,,,0.142857143,A,19.71428571,A,86904.42857,A,19131.85714,A,0.22,A,0,A,0,A,0,A,2,C,86904.42857,,preferred,,568,B,100000,100,5521,Paid in full
815,4250,566,B,100000,100,,,,,,,,,2,A,10,,Verified,A,N,,0,A,0,A,,,4.333333333,D,45.66666667,A,133851.6667,A,6227.333333,A,0.05,A,0,A,0,A,0,A,0,A,133851.6667,,preferred,,566,B,100000,100,3997,Default
832,4977,667,A,150000,100,,,,,,,,,8.79,A,71,,Home,A,N,,0,A,0,A,,,0.25,A,4.75,R,30760,A,12656.5,A,0.41,A,0,A,0,A,0,A,0,A,30760,,capped,,667,A,150000,100,4638,Paid in full
1469,5129,705,A,150000,100,,,,,,,,,12.57,A,87,,Home,A,N,,0,A,0,A,,,0.333333333,A,47.66666667,A,362951.0333,A,27505.86667,A,0.08,A,0,A,0,A,0,A,0,A,362951.0333,,preferred,,705,A,150000,100,4743,Paid in full
475,2735,718,A,150000,100,,,,,,,,,26.87,A,,,Verified,A,N,,0,A,0,A,,,0.5,A,61.75,A,189827,A,6774.5,A,0.04,A,0,A,0,A,0,A,1,A,189827,,preferred,,718,A,150000,100,2846,Default
1054,7109,625,A,150000,80,601,A,150000,20,,,,,8.06,A,69,,Verified,A,N,,0,A,0,A,,,1.142857143,B,74.85714286,A,47251.28571,A,2859.857143,A,0.06,A,0,A,0,A,0,A,0,A,47251.28571,,preferred,,620,A,150000,100,5892,Paid off with renewal
1272,3358,623,A,150000,100,,,,,,,,,4.77,A,86,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,623,A,150000,100,3515,Paid off with renewal
869,6123,582,B,100000,100,,,,,,,,,35.14,A,7,,Home,A,N,,0,A,0,A,,,0,A,11.75,A,77215.4975,A,7218.5375,A,0.09,A,0,A,0,A,0,A,0,A,77215.4975,,preferred,,582,B,100000,100,5507,Default
1878,8495,561,C,35000,100,,,,,,,,,1.69,B,1,,Verified,A,N,,0,A,0,A,,,2,B,65,A,272342,A,15881,A,0.06,A,0,A,0,A,0,A,2,C,272342,,preferred,,561,C,35000,100,7256,Default
202,751,620,A,150000,100,,,,,,,,,8.19,A,,,Verified,A,N,,0,A,0,A,,,0,A,73.25,A,130551.27,A,27761,A,0.21,A,0,A,0,A,0,A,1,A,130551.27,,preferred,,620,A,150000,100,153,Paid off with renewal
233,1126,736,A,150000,100,,,,,,,,,20.81,A,99,,Verified,A,N,,0,A,0,A,,,0,A,24,A,298823.2,A,77588.4,A,0.26,A,0,A,0,A,0,A,3,D,298823.2,,preferred,,736,A,150000,100,1053,Default
707,3879,638,A,150000,100,,,,,,,,,6.79,A,5,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,638,A,150000,100,3934,Default
